Name,Rating Value,Rating Count,Course,Would Take Again,Difficulty,University,Link,Score
Elizabeth Powell,3.3,2,Communication,0.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1683108,0.5179999999999999
Nancy Firak,3.1,4,Law,0.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1565784,0.516
Marissa Williams,3.3,6,English,0.0,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1113772,0.5151428571428571
Susan Houben,3.0,3,Management,0.5,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2048807,0.5149999999999999
Chelo Diaz Martin,3.8,3,Spanish,0.0,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1353833,0.5129999999999999
James Canfield,2.0,1,Social Work,0.0,1.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1890182,0.51
Bill Epps,2.8,18,Psychology,0.0,4.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/549063,0.5062105263157894
Gary Clayton,2.8,51,Economics & Finance,0.0,4.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/411102,0.5042307692307691
Frederick Schneider,3.7,7,Law,0.0,4.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/876497,0.5025
Robert Langenderfer,4.0,2,Health Science,0.0,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1161190,0.5
Majed Dabdoub,2.0,19,Construction Management,0.29,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/781175,0.494
Edward Kwon,2.1,22,Poli-Science amp Crim. Justice,0.27,4.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2319249,0.4939565217391304
Max Gise,2.0,2,Music,0.5,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2129419,0.49
Ed Brewer,2.0,9,Law,0.0,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/483361,0.486
Grant Edwards,2.8,15,Chemistry,0.0,4.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1186568,0.4852499999999999
Sherry Tippey,1.7,6,English,0.17,3.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2437736,0.4841428571428571
Elizabeth McMillian Mcartney,1.9,29,Mathematics,0.0,3.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/501014,0.482
Sara Eisenhardt,3.5,1,Education,0.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1661231,0.48
Kristi Martines,2.4,14,Biological Sciences,0.0,4.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/613156,0.478
Seth Adjei,1.6,40,Computer Science,0.47,4.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2414725,0.4776829268292683
Aref Bsisu,1.7,6,Finance,1.0,4.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2014424,0.4711428571428571
Amira Hollingsworth,2.7,8,English,0.0,4.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1134214,0.4706666666666667
Nan Littleton,3.0,2,Psychology,0.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1602451,0.47
Mark Lancaster,3.5,2,Statistics,0.0,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2140234,0.47
Carol Yzenbaard,3.7,3,Law,0.0,4.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/811922,0.4649999999999999
Prince Brown,2.6,7,Sociology,0.0,4.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/570953,0.4605
Jeffrey Stewart,2.5,21,Economics & Finance,0.0,4.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/869649,0.4603636363636364
Ruth Hemmer,2.1,5,Biological Sciences,0.0,3.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1331501,0.46
Stephan Groschwitz,2.8,3,Sociology,0.0,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1505179,0.4529999999999999
Matthew Neatrour,3.0,1,Science,0.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1346812,0.4499999999999999
Debra Lusczynski-Tarka,5.0,1,Student Success,0.0,5.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2137841,0.4499999999999999
Christa Speights,2.0,10,Physics,0.2,4.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2183407,0.4487272727272727
Mary Jacobs,2.0,10,English,0.0,4.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1016801,0.4467272727272727
Eric Chatterjeep,2.3,3,Communication,0.0,3.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1541629,0.4409999999999999
Elizabeth McMillan-Mccartney,1.8,9,Mathematics,0.0,4.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1609381,0.432
Rick Breault,1.0,2,Education,0.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1505812,0.41
Thomas David Baxter,1.8,2,Health Science,0.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2034391,0.398
Laura Canter,3.0,1,Health Science,0.0,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2435571,0.39
Adam Funk,1.0,6,Biological Sciences,0.0,3.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2721905,0.3831428571428571
Beverly Lawry,1.5,2,English,0.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2284359,0.38
Julie Kunselman,2.2,3,Organizational Leadership,0.0,4.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1431664,0.375
Joan Simunic,1.1,7,Chemistry,0.0,4.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1767681,0.3645
julie morrill,1.5,10,Fine Arts,0.0,5.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2936136,0.3627272727272727
Bruce Smith,2.5,1,Communication,0.0,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2061438,0.36
Martha  Ferguson,1.5,1,Statistics,0.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2070050,0.36
Hannah Bergren,1.2,5,Mathematics,0.0,4.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2180869,0.358
Yong Xue,1.4,4,Physics,0.0,4.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2747557,0.348
Threasa Wesley,2.0,1,Information Science,0.0,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2306384,0.3299999999999999
Ross Markle,2.0,1,Psychology,0.0,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1482017,0.3299999999999999
J. Lilly,1.0,1,Sociology,0.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2173247,0.3299999999999999
Jen Stansbury Koenig,1.0,2,Communication,0.0,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1989449,0.3199999999999999
Tiffany Bell-Horwath,0.0,0,Chemistry,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2343399,0.3
Katy Wilder,0.0,0,Nursing,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2671143,0.3
Jen Ungerleider,0.0,0,Information Science,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2865284,0.3
Melissa Trabel,0.0,0,Nursing,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2713404,0.3
Jonathan Hale,0.0,0,Communication,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2663193,0.3
Susan Thomas,0.0,0,Business Informatics,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2793532,0.3
Kahlil King,0.0,0,Psychology,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2735788,0.3
Robert Meek,0.0,0,Accountancy,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2470337,0.3
Amanda Curtsinger,0.0,0,Nursing,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2793685,0.3
Bobby Wehrle,0.0,0,Chemistry,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2794446,0.3
Anna Sheets,0.0,0,Nursing,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2767708,0.3
ashley brooks,0.0,0,Social Work,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2896845,0.3
Charles Bausch ,0.0,0,Organizational Leadership,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2048340,0.3
Perry Bratcher,0.0,0,Information Science,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2258397,0.3
Andrea Brooks,0.0,0,Journalism,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2488610,0.3
Nancy Williams ,0.0,0,Information Systems,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2983028,0.3
Fred Rogers,0.0,0,Law,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2043811,0.3
Jacquelyn Haas,0.0,0,Fine Arts,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2354491,0.3
Brian Carlson,0.0,0,Biology,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2832070,0.3
John Holley,0.0,0,Science,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2192947,0.3
Tao Wang,0.0,0,Theater,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2829444,0.3
Matt Gregory,0.0,0,Statistics,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2320455,0.3
Summyji Groom,0.0,0,Nursing,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2792591,0.3
Jennifer Jolly-Ryan,0.0,0,Law,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2339832,0.3
Alessandra Rhinehart,0.0,0,Humanities,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2324658,0.3
Golali Naziripour,1.0,1,Physics,0.0,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1862475,0.2699999999999999
Doris Coy,1.0,2,Social Work,0.0,5.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1372396,0.26
ashley williamston,1.0,1,Anthropology,0.0,5.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2658699,0.21
Patricia Collins,1.0,1,Poli-Science  Crim. Justice,0.0,5.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2053271,0.21
Emily Taylor,5.0,16,Computer Science,1.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2313447,0.8443529411764705
Ryan Lehan,4.8,7,Computer Science,1.0,2.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1582300,0.8185
Charles Frank,4.1,22,Computer Science,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/74555,0.8129565217391304
Gary Newell,5.0,49,Computer Science,0.9,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/46122,0.804
Kenneth Roth,4.9,14,Computer Science,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2068751,0.794
Nidhi Patel,4.0,5,Computer Science,0.8,1.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2534453,0.786
Hongmei Wang,4.1,17,Computer Science,1.0,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1219972,0.7733333333333333
Chris Brewer,5.0,5,Computer Science,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2725477,0.77
Maureen Doyle,4.5,19,Computer Science,1.0,3.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/899308,0.7689999999999999
Nicholas Caporusso,4.3,17,Computer Science,0.94,2.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2601655,0.7613333333333333
Jeff Ward,4.0,28,Computer Science,1.0,2.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/576170,0.7556551724137931
YI HU,4.3,12,Computer Science,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1150656,0.7549230769230769
Pak Kwan,4.8,3,Computer Science,0.0,1.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2030671,0.735
Jesse Hockenbury,4.5,2,Computer Science,1.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2251527,0.72
Michael Sweikata,4.7,4,Computer Science,1.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1887161,0.7120000000000001
Alex Kuhl,4.1,10,Computer Science,1.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1519735,0.7087272727272727
John Musgrave,3.4,13,Computer Science,0.64,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2618609,0.7085714285714286
Aziz Bahha,4.0,14,Computer Science,0.79,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2431988,0.7010000000000001
Alina Campan,3.6,40,Computer Science,0.58,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1040104,0.6866829268292682
Bradford Thomas,3.0,3,Computer Science,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2349780,0.6849999999999999
Joseph Rubleske,3.8,22,Computer Science,0.75,3.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1861727,0.6739565217391305
Bo-Kyung Kirby,4.0,38,Computer Science,0.67,3.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1125337,0.6713076923076923
Justin Fry,3.5,12,Computer Science,0.63,3.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1804164,0.6639230769230768
Douglas Wells,4.2,3,Computer Science,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1895492,0.657
Yangyang Tao,3.2,6,Computer Science,0.75,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2705935,0.6561428571428571
James Walden,3.5,20,Computer Science,1.0,4.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/722885,0.6497142857142857
Sunday Ngwobia,3.1,8,Computer Science,1.0,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2823985,0.6486666666666667
Everett Bruce,4.7,3,Computer Science,0.0,2.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1136214,0.645
Tim McCord,3.5,13,Computer Science,0.5,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1865813,0.6405714285714286
Anthony Tsetse,3.0,16,Computer Science,0.65,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2182848,0.6173529411764707
Jennifer Blalock,3.5,7,Computer Science,0.0,2.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1383175,0.6105
Michael Clark,2.6,8,Computer Science,0.63,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2130524,0.6056666666666667
Kevin Kirby,3.6,11,Computer Science,0.67,4.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/74548,0.6
David Renaker,2.7,7,Computer Science,0.67,3.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1543560,0.5995
Teresa Riley,3.8,6,Computer Science,0.0,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1902042,0.5871428571428572
Hunter  Bridewell ,4.3,3,Computer Science,0.0,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2011406,0.585
Scot Cunningham,3.1,44,Computer Science,0.5,4.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1382906,0.5773333333333333
Gail  Wells,2.8,8,Computer Science,0.29,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2068792,0.5596666666666668
Tom Cady,3.3,8,Computer Science,0.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/550646,0.5546666666666666
Marius Truta,2.7,15,Computer Science,0.25,3.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/821064,0.55225
Cynthia Thomas,2.3,25,Computer Science,0.25,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1933002,0.5474615384615384
Wei Hao,2.6,13,Computer Science,0.25,3.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1201756,0.5435714285714286
Rasib Khan,2.6,13,Computer Science,0.42,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2243748,0.5365714285714285
Cindy Bragg,2.9,5,Computer Science,0.0,3.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1934424,0.532
Jasani Hetalkumar,3.5,2,Computer Science,0.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1603231,0.5299999999999999
Samuel Cho,2.5,18,Computer Science,0.38,4.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2279145,0.5142105263157895
Shahid Noor,1.9,13,Computer Science,0.34,3.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2435410,0.5105714285714286
Hetal Jasani,2.7,16,Computer Science,0.0,3.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1333739,0.5103529411764706
Kenneth Downs,3.5,2,Computer Science,0.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1509667,0.5
James Boesken,4.5,1,Computer Science,0.0,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1795329,0.48
Matthew Grubbs,2.3,3,Computer Science,0.0,3.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2721448,0.4409999999999999
Causenge Cangin,1.8,7,Computer Science,0.0,3.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1626504,0.4365
Darci Guriel,1.6,14,Computer Science,0.23,4.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2324944,0.4289999999999999
Olivier Fischer,1.0,5,Computer Science,0.0,3.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2472930,0.418
Amitabh Mishra,1.3,2,Computer Science,0.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1755891,0.398
Asa'd As'ad,1.0,4,Computer Science,0.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2863286,0.39
Md Shohel Rana,1.0,5,Computer Science,0.0,4.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2758833,0.334
Alex Khul,0.0,0,Computer Science,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2250165,0.3
Hanieh  Shabanian,0.0,0,Computer Science,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2909290,0.3
Sylvester Addae,0.0,0,Computer Science,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2876233,0.3
Jason White,0.0,0,Computer Science,0.0,0.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2944293,0.3
Kazi Zunnurhain,2.0,1,Computer Science,0.0,5.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2112396,0.27
